#limit_id,min_value,max_value,default_value,step_value
0,0,0,0,0
1,5,15,9,2
2,20,120,40,20
3,100,400,160,60
4,10,110,20,10
5,10,50,20,10
6,2,3,3,1
7,13,13,13,0
8,250,250,250,0
9,60,60,60,0
10,30,30,30,0
11,2,2,2,0
12,10,40,20,10
13,200,1000,600,200
14,600,600,600,600
15,10,10,10,10
16,2,4,3,1
17,10,110,30,10
18,500,1500,500,250
19,500,1500,500,250
20,2,4,3,1
21,60,160,60,20
22,7,13,10,3
23,30,60,30,10
24,5,33,5,4
25,5,20,10,5
26,700,900,800,20
27,20,60,30,10
28,3,3,3,1
29,5,33,9,2
30,15,15,15,0
31,12,30,24,6
